predictor,level_count,supported_level_count,rare_level_count,rare_row_count,accounted_row_count,supported_comparison_available,supported_mean_loss_range,supported_median_loss_range,supported_mean_log1p_loss_range
cat86,4,4,0,0,188318,True,1807.9650921471166,814.4850000000001,0.36800852629003167
cat87,4,4,0,0,188318,True,3517.7511660627047,3783.2799999999997,1.0706370979543305
cat88,4,2,2,90,188318,True,52.62116753951159,101.48500000000013,0.04714753849564168
cat89,8,3,5,42,188318,True,5304.349285394408,5593.29,1.0873906974005534
cat90,7,3,4,82,188318,True,3214.008298392923,3206.74,0.8140746121979845
cat91,8,6,2,123,188318,True,2882.584789780803,2592.5299999999997,0.7572948435113425
cat92,7,3,4,100,188318,True,1030.2841849230372,734.9899999999998,0.2807588024136525
cat93,5,5,0,0,188318,True,1996.9543243793246,1312.6900000000005,0.713895019496066
cat94,7,5,2,111,188318,True,1528.094352542752,777.53,0.4875252375740562
cat95,5,4,1,109,188318,True,781.9400091987213,247.46499999999992,0.14458756837619546
cat96,8,5,3,71,188318,True,1532.963662604227,696.7600000000002,0.37378916836829745
cat97,7,6,1,34,188318,True,1241.9054969718554,506.83500000000004,0.22590933705121863
cat98,5,5,0,0,188318,True,710.1581343716166,388.92999999999984,0.19876463729747051
cat99,16,11,5,205,188318,True,3151.872544186338,1270.4750000000004,0.49554811333309345
cat100,15,14,1,26,188318,True,3089.294971397208,2540.985,0.948825257362385
cat101,19,11,8,326,188318,True,4603.330420502916,4277.255,1.185236376339832
cat102,9,5,4,29,188318,True,1640.2708173816363,1480.8400000000001,0.4730497409975465
cat103,13,8,5,184,188318,True,3168.3611388288323,3042.3550000000005,0.8747370301621293
cat104,17,12,5,353,188318,True,1399.3650582177365,607.1999999999996,0.3201712569397497
cat105,20,9,11,494,188318,True,2727.439877398498,1318.3899999999999,0.5564154453199714
cat106,17,11,6,313,188318,True,1870.8251594165922,747.2550000000003,0.40170275652801823
cat107,20,12,8,481,188318,True,1073.361210340474,764.3800000000001,0.4377086379733468
cat108,11,11,0,0,188318,True,1837.1754292163237,722.9100000000001,0.3704514935104539
cat109,84,13,71,2791,188318,True,1312.7282720959236,1173.47,0.4503100452973552
cat110,131,39,92,2916,188318,True,2131.72021207918,1199.5749999999998,0.7095729149015675
cat111,16,8,8,176,188318,True,3264.389096416795,3014.54,0.9057137022151229
cat112,51,49,2,174,188318,True,1174.69549969647,1017.5550000000001,0.43283535693465236
cat113,61,41,20,387,188318,True,3594.107204378446,1688.6550000000002,0.8123660900274166
cat114,19,11,8,94,188318,True,4314.431373648544,4171.539999999999,1.2160601768713413
cat115,23,14,9,186,188318,True,2383.1852822304836,1285.835,0.5342590639418843
cat116,326,103,223,6673,188318,True,4830.783874224665,2346.365,1.0291453034196696
