column,level_count,minimum_level_support,rare_level_count,rare_row_count,rare_row_share,dominant_level,dominant_level_count,dominant_level_share,has_rare_level,has_dominant_level
cat29,2,3725,0,0,0.0,A,184593,0.9802196285007275,False,False
cat30,2,3558,0,0,0.0,A,184760,0.9811064263639163,False,False
cat31,2,5338,0,0,0.0,A,182980,0.9716543293790291,False,False
cat32,2,1211,0,0,0.0,A,187107,0.9935693879501694,False,True
cat33,2,957,0,0,0.0,A,187361,0.9949181703289117,False,True
cat34,2,584,0,0,0.0,A,187734,0.9968988625622617,False,True
cat35,2,213,0,0,0.0,A,188105,0.9988689344619208,False,True
cat36,2,32005,0,0,0.0,A,156313,0.8300481101116197,False,False
cat37,2,22589,0,0,0.0,A,165729,0.8800486411283043,False,False
cat38,2,18995,0,0,0.0,A,169323,0.8991333807708238,False,False
cat39,2,4925,0,0,0.0,A,183393,0.9738474282861967,False,False
cat40,2,8199,0,0,0.0,A,180119,0.9564619420342187,False,False
cat41,2,7141,0,0,0.0,A,181177,0.9620800985566966,False,False
cat42,2,1695,0,0,0.0,A,186623,0.9909992671969753,False,True
cat43,2,4208,0,0,0.0,A,184110,0.9776548179143789,False,False
cat44,2,15602,0,0,0.0,A,172716,0.9171507768774095,False,False
cat45,2,4327,0,0,0.0,A,183991,0.9770229080597712,False,False
cat46,2,882,0,0,0.0,A,187436,0.9953164328423199,False,True
cat47,2,701,0,0,0.0,A,187617,0.996277573041345,False,True
cat48,2,269,0,0,0.0,A,188049,0.998571565118576,False,True
cat49,2,9191,0,0,0.0,A,179127,0.95119425652354,False,False
cat50,2,50707,0,0,0.0,A,137611,0.7307373697681581,False,False
cat51,2,1247,0,0,0.0,A,187071,0.9933782219437335,False,True
cat52,2,8813,0,0,0.0,A,179505,0.9532014995911171,False,False
cat53,2,15369,0,0,0.0,A,172949,0.9183880457523975,False,False
cat54,2,4556,0,0,0.0,A,183762,0.975806879852165,False,False
cat55,2,145,1,145,0.0007699741925891312,A,188173,0.9992300258074108,True,True
cat56,2,182,1,182,0.0009664503658704957,A,188136,0.9990335496341295,True,True
cat57,2,3022,0,0,0.0,A,185296,0.9839526757930734,False,False
cat58,2,239,0,0,0.0,A,188079,0.9987308701239392,False,True
cat59,2,300,0,0,0.0,A,188018,0.9984069499463674,False,True
cat60,2,446,0,0,0.0,A,187872,0.9976316655869327,False,True
cat61,2,722,0,0,0.0,A,187596,0.9961660595375906,False,True
cat62,2,45,1,45,0.00023895750804490276,A,188273,0.9997610424919551,True,True
cat63,2,79,1,79,0.0004195031807899404,A,188239,0.99958049681921,True,True
cat64,2,47,1,47,0.0002495778417357873,A,188271,0.9997504221582643,True,True
cat65,2,2262,0,0,0.0,A,186056,0.9879884025956096,False,False
cat66,2,8336,0,0,0.0,A,179982,0.9557344491763932,False,False
cat67,2,692,0,0,0.0,A,187626,0.996325364542954,False,True
cat68,2,142,1,142,0.0007540436920528043,A,188176,0.9992459563079472,True,True
cat69,2,307,0,0,0.0,A,188011,0.9983697787784492,False,True
cat70,2,23,1,23,0.00012213383744517253,A,188295,0.9998778661625548,True,True
cat71,2,9672,0,0,0.0,A,178646,0.9486400662708823,False,False
cat72,2,69996,0,0,0.0,A,118322,0.6283095614864219,False,False
cat73,3,26,1,26,0.00013806433798149937,A,154275,0.8192259900806084,True,False
cat74,3,26,1,26,0.00013806433798149937,A,184731,0.9809524315253986,True,False
cat75,3,1,1,1,5.310166845442284e-06,A,154307,0.8193959154196625,True,False
cat76,3,788,0,0,0.0,A,181347,0.9629828269204218,False,False
cat77,4,49,1,49,0.0002601981754266719,D,187503,0.9956722140209645,True,True
cat78,4,359,0,0,0.0,B,186526,0.9904841810129674,False,True
cat79,4,1668,0,0,0.0,B,152929,0.8120785055066431,False,False
cat80,4,783,0,0,0.0,D,137505,0.7301744920825413,False,False
cat81,4,788,0,0,0.0,D,154385,0.819810108433607,False,False
cat82,4,2655,0,0,0.0,B,147536,0.7834407757091728,False,False
cat83,4,4958,0,0,0.0,B,141534,0.7515691543028282,False,False
cat84,4,431,0,0,0.0,C,154939,0.822751940865982,False,False
cat85,4,514,0,0,0.0,B,186005,0.987717584086492,False,False
cat86,4,1589,0,0,0.0,B,103852,0.551471447232872,False,False
cat87,4,788,0,0,0.0,B,166992,0.8867553818540979,False,False
cat88,4,7,2,90,0.0004779150160898055,A,168926,0.8970252445331832,True,False
cat89,8,1,5,42,0.00022302700750857592,A,183744,0.975711296848947,True,False
cat90,7,2,4,82,0.00043543368132626726,A,177993,0.9451725273208084,True,False
cat91,8,26,2,123,0.0006531505219894009,A,111028,0.5895772045157659,True,False
cat92,7,1,4,100,0.0005310166845442284,A,124689,0.6621193937913529,True,False
cat93,5,432,0,0,0.0,D,150237,0.7977835363587124,False,False
cat94,7,20,2,111,0.0005894285198440935,D,121642,0.6459393154132903,True,False
cat95,5,109,1,109,0.0005788081861532089,C,87531,0.46480421414840856,True,False
cat96,8,12,3,71,0.00037702184602640215,E,174360,0.9258806911713165,True,False
cat97,7,34,1,34,0.00018054567274503766,C,78127,0.4148674051338693,True,False
cat98,5,542,0,0,0.0,A,105492,0.5601801208593974,False,False
cat99,16,3,5,205,0.0010885842033156682,P,79455,0.42191930670461664,True,False
cat100,15,26,1,26,0.00013806433798149937,F,42970,0.22817786934865494,True,False
cat101,19,1,8,326,0.0017311143916141846,A,106721,0.566706315912446,True,False
cat102,9,1,4,29,0.00015399483851782624,A,177274,0.9413545173589354,True,False
cat103,13,2,5,184,0.0009770706995613802,A,123737,0.6570641149544919,True,False
cat104,17,3,5,353,0.001874488896441126,E,42925,0.22793891184061002,True,False
cat105,20,1,11,494,0.0026232224216484884,E,76493,0.4061905925084166,True,False
cat106,17,2,6,313,0.001662082222623435,G,47165,0.2504540192652853,True,False
cat107,20,2,8,481,0.0025541902526577385,F,47310,0.25122399345787444,True,False
cat108,11,213,0,0,0.0,B,65512,0.3478796503786149,False,False
cat109,84,1,71,2791,0.014820675665629415,BI,152918,0.8120200936713432,True,False
cat110,131,1,92,2916,0.0154844465213097,CL,25305,0.13437377202391698,True,False
cat111,16,2,8,176,0.000934589364797842,A,128395,0.681798872120562,True,False
cat112,51,30,2,174,0.0009239690311069574,E,25148,0.13354007582918256,True,False
cat113,61,1,20,387,0.0020550345691861638,BM,26191,0.13907857984897887,True,False
cat114,19,1,8,94,0.0004991556834715746,A,131693,0.6993118023768307,True,False
cat115,23,1,9,186,0.0009876910332522648,K,43866,0.23293577884217123,True,False
cat116,326,1,223,6673,0.03543474335963636,HK,21061,0.11183742393185994,True,False
