column,role,source_dtype,workflow_dtype,missing,n_unique,min,max
cat75,categorical_predictor,object,category,0,3,,
cat76,categorical_predictor,object,category,0,3,,
cat77,categorical_predictor,object,category,0,4,,
cat78,categorical_predictor,object,category,0,4,,
cat79,categorical_predictor,object,category,0,4,,
cat80,categorical_predictor,object,category,0,4,,
cat81,categorical_predictor,object,category,0,4,,
cat82,categorical_predictor,object,category,0,4,,
cat83,categorical_predictor,object,category,0,4,,
cat84,categorical_predictor,object,category,0,4,,
cat85,categorical_predictor,object,category,0,4,,
cat86,categorical_predictor,object,category,0,4,,
cat87,categorical_predictor,object,category,0,4,,
cat88,categorical_predictor,object,category,0,4,,
cat89,categorical_predictor,object,category,0,8,,
cat90,categorical_predictor,object,category,0,7,,
cat91,categorical_predictor,object,category,0,8,,
cat92,categorical_predictor,object,category,0,7,,
cat93,categorical_predictor,object,category,0,5,,
cat94,categorical_predictor,object,category,0,7,,
cat95,categorical_predictor,object,category,0,5,,
cat96,categorical_predictor,object,category,0,8,,
cat97,categorical_predictor,object,category,0,7,,
cat98,categorical_predictor,object,category,0,5,,
cat99,categorical_predictor,object,category,0,16,,
cat100,categorical_predictor,object,category,0,15,,
cat101,categorical_predictor,object,category,0,19,,
cat102,categorical_predictor,object,category,0,9,,
cat103,categorical_predictor,object,category,0,13,,
cat104,categorical_predictor,object,category,0,17,,
cat105,categorical_predictor,object,category,0,20,,
cat106,categorical_predictor,object,category,0,17,,
cat107,categorical_predictor,object,category,0,20,,
cat108,categorical_predictor,object,category,0,11,,
cat109,categorical_predictor,object,category,0,84,,
cat110,categorical_predictor,object,category,0,131,,
cat111,categorical_predictor,object,category,0,16,,
cat112,categorical_predictor,object,category,0,51,,
cat113,categorical_predictor,object,category,0,61,,
cat114,categorical_predictor,object,category,0,19,,
cat115,categorical_predictor,object,category,0,23,,
cat116,categorical_predictor,object,category,0,326,,
cont1,continuous_predictor,float64,float64,0,647,1.6e-05,0.984975
cont2,continuous_predictor,float64,float64,0,33,0.001149,0.862654
cont3,continuous_predictor,float64,float64,0,76,0.002634,0.944251
cont4,continuous_predictor,float64,float64,0,112,0.176921,0.954297
cont5,continuous_predictor,float64,float64,0,141,0.281143,0.983674
cont6,continuous_predictor,float64,float64,0,2573,0.012683,0.997162
cont7,continuous_predictor,float64,float64,0,5632,0.069503,1.0
cont8,continuous_predictor,float64,float64,0,201,0.23688,0.9802
cont9,continuous_predictor,float64,float64,0,347,8e-05,0.9954
cont10,continuous_predictor,float64,float64,0,174,0.0,0.99498
cont11,continuous_predictor,float64,float64,0,326,0.035321,0.998742
cont12,continuous_predictor,float64,float64,0,328,0.036232,0.998484
cont13,continuous_predictor,float64,float64,0,353,0.000228,0.988494
cont14,continuous_predictor,float64,float64,0,18740,0.179722,0.844848
loss,regression_target,float64,float64,0,158223,0.67,121012.25
