field,n_levels,top_level,top_support,top_share,min_support,median_support,n_rare_levels,rare_row_share
cat79,4,B,152929,0.8120785055066431,1668,16860.5,0,0.0
cat80,4,D,137505,0.7301744920825413,783,25015.0,0,0.0
cat81,4,D,154385,0.819810108433607,788,16572.5,0,0.0
cat82,4,B,147536,0.7834407757091728,2655,19063.5,0,0.0
cat83,4,B,141534,0.7515691543028282,4958,20913.0,0,0.0
cat84,4,C,154939,0.822751940865982,431,16474.0,0,0.0
cat85,4,B,186005,0.987717584086492,514,899.5,0,0.0
cat86,4,B,103852,0.551471447232872,1589,41438.5,0,0.0
cat87,4,B,166992,0.8867553818540979,788,10269.0,0,0.0
cat88,4,A,168926,0.8970252445331832,7,9692.5,2,0.0004779150160898055
cat89,8,A,183744,0.975711296848947,1,19.0,5,0.00022302700750857592
cat90,7,A,177993,0.9451725273208084,2,70.0,4,0.00043543368132626726
cat91,8,A,111028,0.5895772045157659,26,3774.5,2,0.0006531505219894009
cat92,7,A,124689,0.6621193937913529,1,62.0,4,0.0005310166845442284
cat93,5,D,150237,0.7977835363587124,432,1133.0,0,0.0
cat94,7,D,121642,0.6459393154132903,20,738.0,2,0.0005894285198440935
cat95,5,C,87531,0.46480421414840856,109,17417.0,1,0.0005788081861532089
cat96,8,E,174360,0.9258806911713165,12,1504.0,3,0.00037702184602640215
cat97,7,C,78127,0.4148674051338693,34,16745.0,1,0.00018054567274503766
cat98,5,A,105492,0.5601801208593974,542,21485.0,0,0.0
cat99,16,P,79455,0.42191930670461664,3,1868.0,5,0.0010885842033156682
cat100,15,F,42970,0.22817786934865494,26,9402.0,1,0.00013806433798149937
cat101,19,A,106721,0.566706315912446,1,2762.0,8,0.0017311143916141846
cat102,9,A,177274,0.9413545173589354,1,449.0,4,0.00015399483851782624
cat103,13,A,123737,0.6570641149544919,2,550.0,5,0.0009770706995613802
cat104,17,E,42925,0.22793891184061002,3,3486.0,5,0.001874488896441126
cat105,20,E,76493,0.4061905925084166,1,158.0,11,0.0026232224216484884
cat106,17,G,47165,0.2504540192652853,2,1934.0,6,0.001662082222623435
cat107,20,F,47310,0.25122399345787444,2,1432.0,8,0.0025541902526577385
cat108,11,B,65512,0.3478796503786149,213,9299.0,0,0.0
cat109,84,BI,152918,0.8120200936713432,1,36.0,71,0.014820675665629415
cat110,131,CL,25305,0.13437377202391698,1,29.0,92,0.0154844465213097
cat111,16,A,128395,0.681798872120562,2,156.0,8,0.000934589364797842
cat112,51,E,25148,0.13354007582918256,30,1331.0,2,0.0009239690311069574
cat113,61,BM,26191,0.13907857984897887,1,1463.0,20,0.0020550345691861638
cat114,19,A,131693,0.6993118023768307,1,250.0,8,0.0004991556834715746
cat115,23,K,43866,0.23293577884217123,1,315.0,9,0.0009876910332522648
cat116,326,HK,21061,0.11183742393185994,1,35.0,223,0.03543474335963636
