field,derived_field,bin_number,bin_label,left_edge,right_edge,observed_min,observed_max,support,mean_loss,median_loss,loss_q1,loss_q3,loss_iqr
cont9,cont9_quantile_bin,10,B10,0.79047,0.9954,0.79734,0.9954,18662,3134.292014789412,2243.875,1359.435,3809.8325,2450.3975
cont10,cont10_quantile_bin,1,B1,0.0,0.26029,0.0,0.26029,20388,2734.5621134981357,2093.055,1190.165,3673.32,2483.155
cont10,cont10_quantile_bin,2,B2,0.26029,0.32446,0.26459,0.32446,17436,3106.683139481532,2261.035,1267.9325,4122.78,2854.8475
cont10,cont10_quantile_bin,3,B3,0.32446,0.38016,0.32935,0.38016,19508,2960.601997129383,2113.4300000000003,1190.5149999999999,3812.3975,2621.8825
cont10,cont10_quantile_bin,4,B4,0.38016,0.43919,0.38541,0.43919,23210,3087.838095648427,2142.565,1182.455,4060.5875,2878.1325
cont10,cont10_quantile_bin,5,B5,0.43919,0.46119,0.44467,0.46119,13807,3033.9254313029624,2036.88,1133.76,3958.38,2824.62
cont10,cont10_quantile_bin,6,B6,0.46119,0.51111,0.46672,0.51111,21072,3122.1572854973424,2095.37,1186.965,3989.195,2802.2300000000005
cont10,cont10_quantile_bin,7,B7,0.51111,0.58257,0.51666,0.58257,17462,3117.1146689955326,2063.55,1169.23,3868.21,2698.98
cont10,cont10_quantile_bin,8,B8,0.58257,0.6994,0.58796,0.6994,18218,3236.681083543748,2147.3,1229.4375,3935.39,2705.9525
cont10,cont10_quantile_bin,9,B9,0.6994,0.79863,0.70405,0.79863,18903,2809.10450351796,1989.57,1168.9850000000001,3483.105,2314.12
cont10,cont10_quantile_bin,10,B10,0.79863,0.99498,0.80218,0.99498,18314,3192.3070454297263,2211.4300000000003,1324.6625000000001,3838.3424999999997,2513.6799999999994
cont11,cont11_quantile_bin,1,B1,0.035321,0.231253,0.035321,0.231253,19165,2727.845497521523,2038.08,1154.12,3638.64,2484.52
cont11,cont11_quantile_bin,2,B2,0.231253,0.291268,0.234038,0.291268,20938,2817.777075651925,2088.995,1187.9775,3753.8725,2565.895
cont11,cont11_quantile_bin,3,B3,0.291268,0.341813,0.294499,0.341813,22132,2935.7897334176755,2096.09,1182.6425,3891.0,2708.3575
cont11,cont11_quantile_bin,4,B4,0.341813,0.3925,0.345331,0.3925,13189,2834.684835848055,1982.67,1157.61,3599.07,2441.46
cont11,cont11_quantile_bin,5,B5,0.3925,0.457203,0.396226,0.457203,19105,2718.8605485475005,1978.09,1141.01,3504.37,2363.3599999999997
cont11,cont11_quantile_bin,6,B6,0.457203,0.550529,0.461077,0.550529,19545,2960.212812995651,2132.02,1202.31,3845.44,2643.13
cont11,cont11_quantile_bin,7,B7,0.550529,0.625936,0.554386,0.625936,17784,3112.9654487179487,2145.48,1203.59,3944.7749999999996,2741.1849999999995
cont11,cont11_quantile_bin,8,B8,0.625936,0.708732,0.633212,0.708732,18922,3259.2524215199237,2146.945,1198.565,4095.745,2897.18
cont11,cont11_quantile_bin,9,B9,0.708732,0.797841,0.711942,0.797841,21623,3233.1943296489844,2211.2,1263.21,4055.7200000000003,2792.51
cont11,cont11_quantile_bin,10,B10,0.797841,0.998742,0.800346,0.998742,15915,3870.620369462771,2368.45,1373.3899999999999,4519.715,3146.3250000000003
cont12,cont12_quantile_bin,1,B1,0.036232,0.236124,0.036232,0.236124,19221,2697.27889755996,2027.51,1148.78,3605.0,2456.2200000000003
cont12,cont12_quantile_bin,2,B2,0.236124,0.292356,0.241676,0.292356,19031,2858.3794976617096,2134.85,1212.835,3807.27,2594.435
cont12,cont12_quantile_bin,3,B3,0.292356,0.335036,0.295524,0.335036,18383,2891.306595767829,2060.02,1153.67,3835.3599999999997,2681.6899999999996
cont12,cont12_quantile_bin,4,B4,0.335036,0.387819,0.338446,0.387819,19273,2916.2171068333937,2028.18,1175.24,3751.02,2575.7799999999997
cont12,cont12_quantile_bin,5,B5,0.387819,0.462286,0.39145,0.462286,18784,2769.3638729770014,1988.745,1143.3575,3552.8199999999997,2409.4624999999996
cont12,cont12_quantile_bin,6,B6,0.462286,0.55738,0.466083,0.55738,21558,2999.4215409592725,2119.97,1195.3125,3835.9449999999997,2640.6324999999997
cont12,cont12_quantile_bin,7,B7,0.55738,0.630853,0.561143,0.630853,18066,2968.964302003764,2103.12,1188.475,3811.795,2623.32
cont12,cont12_quantile_bin,8,B8,0.630853,0.698722,0.634401,0.698722,16645,3253.9160654851307,2142.99,1193.7,4065.45,2871.75
cont12,cont12_quantile_bin,9,B9,0.698722,0.785706,0.701926,0.785706,19513,3252.180088146364,2225.34,1267.81,4108.05,2840.2400000000002
cont12,cont12_quantile_bin,10,B10,0.785706,0.998484,0.788266,0.998484,17844,3835.922792535306,2370.225,1376.7725,4495.9325,3119.16
cont13,cont13_quantile_bin,1,B1,0.000228,0.276878,0.000228,0.276878,21045,2985.080702304585,2038.66,1200.4,3600.59,2400.19
cont13,cont13_quantile_bin,2,B2,0.276878,0.30435,0.279556,0.30435,19893,3043.471687528276,2130.26,1205.21,3834.71,2629.5
cont13,cont13_quantile_bin,3,B3,0.30435,0.321548,0.307181,0.321548,15706,2983.2476142875335,2133.0950000000003,1190.7675,3930.435,2739.6675
cont13,cont13_quantile_bin,4,B4,0.321548,0.339244,0.324464,0.339244,20127,3140.3529810702044,2215.23,1211.2150000000001,4193.02,2981.8050000000003
cont13,cont13_quantile_bin,5,B5,0.339244,0.363547,0.342239,0.363547,18205,3146.468321340291,2135.85,1166.78,4167.15,3000.37
cont13,cont13_quantile_bin,6,B6,0.363547,0.598688,0.366638,0.598688,18415,3015.0472880803695,2126.69,1195.73,3943.74,2748.0099999999998
cont13,cont13_quantile_bin,7,B7,0.598688,0.660756,0.601887,0.660756,18948,3020.336909436352,2037.0949999999998,1154.38,3795.94,2641.56
cont13,cont13_quantile_bin,8,B8,0.660756,0.717751,0.663739,0.717751,18488,2840.8041843357855,2009.22,1159.5325,3534.4575,2374.925
cont13,cont13_quantile_bin,9,B9,0.717751,0.810511,0.720444,0.810511,19424,3016.173863776771,2151.19,1252.7624999999998,3795.65,2542.8875000000003
cont13,cont13_quantile_bin,10,B10,0.810511,0.988494,0.81255,0.988494,18067,3178.1666519067912,2210.25,1313.335,3891.885,2578.55
cont14,cont14_quantile_bin,1,B1,0.179722,0.232823,0.179722,0.232823,18842,3372.3812578282564,2476.7,1420.115,4364.04,2943.925
cont14,cont14_quantile_bin,2,B2,0.232823,0.276753,0.232893,0.276753,18833,3288.576161524983,2357.87,1327.93,4271.91,2943.9799999999996
cont14,cont14_quantile_bin,3,B3,0.276753,0.308979,0.276766,0.308979,18822,2764.6716783551165,1870.71,1035.475,3507.9775,2472.5025
cont14,cont14_quantile_bin,4,B4,0.308979,0.37046,0.308993,0.37046,18831,2640.7562880356854,1787.74,1018.4749999999999,3326.87,2308.395
cont14,cont14_quantile_bin,5,B5,0.37046,0.407403,0.370467,0.407403,18840,2842.2161295116775,1905.875,1066.995,3532.845,2465.85
cont14,cont14_quantile_bin,6,B6,0.407403,0.599002,0.407411,0.599002,18837,2787.2871890428414,1975.71,1168.96,3499.14,2330.18
cont14,cont14_quantile_bin,7,B7,0.599002,0.708743,0.59901,0.708743,18829,3048.4320510914017,2166.72,1256.15,3852.77,2596.62
cont14,cont14_quantile_bin,8,B8,0.708743,0.746103,0.70875,0.746103,18831,3336.606374595083,2410.09,1372.4,4267.505,2895.105
cont14,cont14_quantile_bin,9,B9,0.746103,0.811105,0.746109,0.811105,18839,3200.6941700727216,2193.18,1245.0900000000001,4039.855,2794.765
cont14,cont14_quantile_bin,10,B10,0.811105,0.844848,0.81111,0.844848,18814,3091.5564967577334,2122.1499999999996,1221.575,3885.2625,2663.6875
