field,level,support,mean_loss,median_loss,std_loss,q25_loss,q75_loss,iqr_loss,is_rare
cat11,A,168186,2810.9213719929126,1969.1350000000002,2681.386674144757,1140.9125000000001,3529.9300000000003,2389.0175,False
cat11,B,20132,4928.856368964832,3953.77,3849.658476447635,2324.46,6376.9,4052.4399999999996,False
cat12,A,159825,2655.897436320976,1869.45,2555.3757027718398,1106.04,3275.6,2169.56,False
cat12,B,28493,5176.939968764258,4322.13,3703.900168049495,2694.36,6599.76,3905.4,False
cat13,A,168851,2818.460441987314,1974.92,2685.7058336803343,1145.18,3544.125,2398.9449999999997,False
cat13,B,19467,4935.8141572918275,3943.1,3873.328749561865,2304.49,6388.139999999999,4083.6499999999996,False
cat14,A,186041,3004.308571175171,2099.37,2862.3051561008842,1197.74,3823.78,2626.04,False
cat14,B,2277,5735.962845849803,4478.24,4555.844529643676,2451.45,7749.4,5297.95,False
cat15,A,188284,3037.267431645812,2115.39,2904.092239461433,1204.39,3863.8575,2659.4674999999997,False
cat15,B,34,3426.3879411764706,2647.9,2886.64461752456,1549.9724999999999,4071.2575,2521.2850000000003,True
cat16,A,181843,2932.6280914855124,2051.7,2810.7928431778973,1181.06,3698.335,2517.275,False
cat16,B,6475,5977.9873745173745,5199.6,3801.8058566832738,3419.7200000000003,7526.875,4107.155,False
cat17,A,187009,3018.2363248292863,2106.76,2879.437571883352,1200.7,3838.39,2637.6899999999996,False
cat17,B,1309,5766.234851031321,4632.37,4617.032429302437,2547.98,7408.54,4860.5599999999995,False
cat18,A,187331,3028.4992323747806,2110.12,2897.774390130936,1202.15,3849.795,2647.645,False
cat18,B,987,4714.86179331307,3845.48,3545.1299650013166,2091.84,6489.67,4397.83,False
cat19,A,186510,3027.3069409683126,2108.88,2895.917056597582,1200.955,3849.1000000000004,2648.1450000000004,False
cat19,B,1808,4072.091111725664,3069.015,3499.586558490659,1696.25,5284.844999999999,3588.5949999999993,False
cat20,A,188114,3034.3419256408347,2113.755,2901.587807191554,1203.8725,3858.6775,2654.805,False
cat20,B,204,5799.81024509804,4853.44,3773.4819851476605,2949.135,7871.57,4922.4349999999995,False
cat21,A,187905,3036.461993826668,2114.94,2903.6726029277092,1204.29,3862.46,2658.17,False
cat21,B,413,3435.7562711864407,2314.4,3064.344911594436,1325.64,4606.57,3280.9299999999994,False
cat22,A,188275,3037.0614561678394,2115.39,2903.6696452532865,1204.38,3863.6949999999997,2659.3149999999996,False
cat22,B,43,4246.80534883721,2462.33,4240.398664843487,1640.83,5820.030000000001,4179.200000000001,True
cat23,A,157445,2831.2413276382226,1973.44,2725.0245665171824,1134.52,3557.83,2423.31,False
cat23,B,30873,4088.380379619732,3068.2,3500.4456695692907,1734.91,5336.95,3602.04,False
cat24,A,181977,2987.4257185798206,2081.87,2857.5514671196393,1188.69,3790.6,2601.91,False
cat24,B,6341,4469.734789465384,3474.19,3742.6130692870097,1972.29,5760.55,3788.26,False
cat25,A,169969,2951.763318310986,2044.75,2832.516565978209,1162.66,3748.98,2586.3199999999997,False
cat25,B,18349,3830.0233713008884,2811.01,3397.243860954297,1705.88,4857.98,3152.0999999999995,False
cat26,A,177119,3001.3993590185128,2081.04,2880.449823789958,1182.165,3812.535,2630.37,False
cat26,B,11199,3605.7241914456645,2696.47,3202.1126025468993,1644.92,4547.51,2902.59,False
cat27,A,168250,3028.052370460624,2112.57,2901.3746854071605,1198.0225,3854.9825,2656.96,False
cat27,B,20068,3115.1857165636834,2139.0299999999997,2925.63427426849,1264.18,3936.7625,2672.5824999999995,False
cat28,A,180938,2965.1951838751397,2066.915,2837.4220158788216,1184.0825,3758.67,2574.5875,False
cat28,B,7380,4806.080231707317,3809.135,3816.2377469562175,2212.6899999999996,6237.9,4025.21,False
cat29,A,184593,3003.5051451571835,2096.08,2873.4382068782074,1196.2,3814.5,2618.3,False
cat29,B,3725,4713.914907382551,3679.46,3787.425531832243,1980.09,6288.71,4308.62,False
cat30,A,184760,3017.7328358952154,2104.47,2887.93760671177,1198.46,3835.7225,2637.2625,False
cat30,B,3558,4055.3792945474984,2989.26,3498.249072983593,1625.9450000000002,5333.5375,3707.5925,False
cat31,A,182980,3031.111213356651,2109.59,2887.9944742151047,1200.3449999999998,3855.7650000000003,2655.4200000000005,False
cat31,B,5338,3250.7734113900333,2349.465,3403.5157689408466,1398.9099999999999,4065.6175000000003,2666.7075000000004,False
cat32,A,187107,3031.9235996515363,2111.04,2901.215439720133,1201.87,3855.705,2653.835,False
cat32,B,1211,3873.8475061932286,2886.85,3211.3660541548747,1759.42,4948.610000000001,3189.1900000000005,False
cat33,A,187361,3028.486762933588,2110.54,2892.4647861681337,1202.07,3852.32,2650.25,False
cat33,B,957,4770.167084639499,3517.38,4315.50354159236,1994.78,5955.53,3960.75,False
cat34,A,187734,3032.2243383191108,2112.36,2898.628502855783,1203.02,3856.94,2653.92,False
cat34,B,584,4681.0862328767125,3547.045,3991.383235719245,1944.4475,6138.67,4194.2225,False
cat35,A,188105,3035.27734270753,2114.28,2902.1667610784307,1203.89,3860.97,2657.08,False
cat35,B,213,4856.872018779342,3580.18,3877.0975525993467,2215.2,6111.58,3896.38,False
cat36,A,156313,2831.646554797106,1972.3,2719.425204527955,1135.93,3567.0,2431.0699999999997,False
cat36,B,32005,4041.936896422434,3008.05,3505.707703417233,1710.64,5229.56,3518.92,False
cat37,A,165729,3025.5396695810628,2100.03,2909.1885657992516,1187.52,3855.65,2668.13,False
cat37,B,22589,3123.896338483333,2233.02,2864.9519169110786,1332.49,3903.17,2570.6800000000003,False
cat38,A,169323,2944.27730013052,2031.72,2839.468255569468,1158.495,3743.645,2585.15,False
cat38,B,18995,3866.885654119505,2886.87,3313.19625389896,1783.165,4802.93,3019.7650000000003,False
cat39,A,183393,3029.637268434455,2107.55,2899.4500282312824,1199.84,3852.32,2652.4800000000005,False
cat39,B,4925,3324.0793340101523,2459.61,3058.2819578838175,1424.45,4245.56,2821.1100000000006,False
cat40,A,180119,2959.775965722661,2065.38,2823.273438153453,1184.105,3751.825,2567.72,False
cat40,B,8199,4741.245410415904,3721.56,3945.6354687874523,2108.8900000000003,6163.085,4054.1949999999997,False
cat41,A,181177,2987.398415472163,2080.46,2857.710187666145,1188.01,3791.64,2603.63,False
cat41,B,7141,4304.36571488587,3280.98,3680.5438973745045,1873.61,5578.52,3704.9100000000008,False
cat42,A,186623,3031.9743241722613,2110.03,2901.8517647755107,1200.93,3857.705,2656.7749999999996,False
cat42,B,1695,3627.8548613569324,2719.88,3084.7673825778,1711.08,4391.69,2680.6099999999997,False
cat43,A,184110,3016.3629148878385,2100.815,2887.160841487683,1197.0625,3834.41,2637.3475,False
cat43,B,4208,3955.0337523764256,2876.495,3444.3658092718356,1668.64,5127.8325,3459.1925,False
cat44,A,172716,2995.4635541003727,2062.545,2892.979417680384,1168.87,3816.8424999999997,2647.9725,False
cat44,B,15602,3500.889314190488,2648.13,2985.4247357122417,1686.1950000000002,4280.6775,2594.4824999999996,False
cat45,A,183991,3003.736869520792,2093.86,2875.9926998630895,1194.745,3813.675,2618.9300000000003,False
cat45,B,4327,4466.098435405593,3424.09,3640.3495580041103,1901.835,5944.3099999999995,4042.4749999999995,False
cat46,A,187436,3028.1084648626734,2110.245,2894.1889951119792,1202.0674999999999,3851.2975,2649.2300000000005,False
cat46,B,882,4998.662210884354,3824.9449999999997,4096.7256498693405,2236.8824999999997,6419.13,4182.2475,False
cat47,A,187617,3031.022527329613,2111.88,2896.3180210608834,1202.66,3854.94,2652.2799999999997,False
cat47,B,701,4727.5389158345215,3473.37,4201.300024772122,1963.31,6059.05,4095.7400000000002,False
cat48,A,188049,3035.5637408866837,2113.99,2903.1521100169143,1203.61,3860.9,2657.29,False
cat48,B,269,4277.443791821561,3222.68,3274.9849852552775,2083.81,5484.71,3400.9,False
cat49,A,179127,3020.376721208975,2108.41,2890.2445857496396,1198.6750000000002,3842.21,2643.535,False
cat49,B,9191,3367.896567294092,2285.54,3143.725721004574,1325.67,4317.93,2992.26,False
cat50,A,137611,3231.7804930565144,2313.21,2989.7153477399775,1341.13,4111.545,2770.415,False
cat50,B,50707,2509.649808902124,1614.31,2585.183037049909,937.585,3071.8599999999997,2134.2749999999996,False
cat51,A,187071,3029.16784199582,2110.51,2897.018266971595,1201.2,3853.1549999999997,2651.955,False
cat51,B,1247,4262.951820368885,3034.37,3617.040708924848,1786.625,5684.525,3897.8999999999996,False
cat52,A,179505,3016.8080650678257,2106.89,2883.8662743787754,1199.46,3836.1,2636.64,False
cat52,B,8813,3455.489228412572,2345.38,3261.1661253393604,1315.75,4489.17,3173.42,False
cat53,A,172949,2995.085321337504,2079.27,2885.552255796283,1179.18,3808.46,2629.2799999999997,False
cat53,B,15369,3512.8080584293057,2547.67,3065.235882405845,1527.62,4472.31,2944.6900000000005,False
cat54,A,183762,3033.420964998204,2115.385,2896.0129144465145,1203.585,3861.84,2658.255,False
cat54,B,4556,3195.3149517120282,2119.535,3209.2156714981847,1243.475,3934.44,2690.965,False
cat55,A,188173,3036.1642069797476,2114.49,2903.4011265965387,1203.95,3861.48,2657.5299999999997,False
cat55,B,145,4560.213586206896,3580.65,3369.5848336492822,2257.03,5792.6,3535.57,True
cat56,A,188136,3036.2174214929623,2114.4849999999997,2903.79977957125,1203.9075,3861.495,2657.5874999999996,False
cat56,B,182,4195.370769230769,3368.23,2976.4991928457757,2052.7625000000003,5307.860000000001,3255.0975000000003,True
cat57,A,185296,2919.869698644331,2081.9300000000003,2693.2539311610776,1192.9875,3748.3225,2555.335,False
cat57,B,3022,10239.967772998014,9532.34,5298.800661667891,6993.3675,12418.259999999998,5424.892499999998,False
cat58,A,188079,3033.4903597956177,2113.63,2898.771631130673,1203.77,3859.005,2655.235,False
cat58,B,239,6064.957782426778,4663.13,4860.37687528677,2577.34,8066.6900000000005,5489.35,False
cat59,A,188018,3032.3965407035494,2113.2700000000004,2896.6084247364556,1203.585,3857.3849999999998,2653.7999999999997,False
cat59,B,300,6134.085,4807.255,5108.860606486868,2785.8849999999998,7591.55,4805.665000000001,False
cat60,A,187872,3035.220635805229,2113.91,2903.1345334557027,1203.545,3860.105,2656.56,False
cat60,B,446,3929.1188340807175,3043.385,3160.203680128184,1634.695,5184.2675,3549.5725,False
cat61,A,187596,3031.8755710676132,2111.285,2899.4888127527574,1202.5674999999999,3855.5525000000002,2652.9850000000006,False
cat61,B,722,4456.5493905817175,3435.96,3655.5169591066974,2148.455,5488.88,3340.425,False
cat62,A,188273,3036.680964875473,2115.29,2903.2003701136446,1204.34,3863.57,2659.2300000000005,False
cat62,B,45,5784.955333333333,3552.94,4786.865711751177,2352.85,7106.4,4753.549999999999,True
cat63,A,188239,3036.9642400883986,2115.32,2903.6007831208935,1204.4050000000002,3863.59,2659.185,False
cat63,B,79,3927.173417721519,2888.95,3813.506192136886,1408.4850000000001,4932.225,3523.7400000000002,True
cat64,A,188271,3036.347945780285,2115.18,2902.484274871754,1204.3649999999998,3862.8,2658.4350000000004,False
cat64,B,47,7002.0040425531915,5099.53,5533.772859428397,2992.09,10411.58,7419.49,True
cat65,A,186056,3017.1358310938645,2103.63,2884.494962074265,1199.4,3835.1325,2635.7325,False
cat65,B,2262,4698.998275862069,3651.5550000000003,3869.563391800954,2038.1225,6154.467500000001,4116.345000000001,False
cat66,A,179982,3001.270972375015,2086.33,2878.4314619897764,1190.6125,3807.42,2616.8075,False
cat66,B,8336,3816.051600287908,2855.365,3317.1566961257927,1631.4125,4956.8724999999995,3325.4599999999996,False
cat67,A,187626,3030.2036088814984,2111.865,2896.7898865517254,1203.085,3853.2725,2650.1875,False
cat67,B,692,4971.641575144509,3850.045,4022.127296667229,1952.0124999999998,6675.265,4723.2525000000005,False
cat68,A,188176,3036.228232346314,2115.32,2901.405512599036,1204.34,3862.745,2658.4049999999997,False
cat68,B,142,4507.56647887324,2683.205,5204.274431317133,1355.2150000000001,5360.095,4004.88,True
cat69,A,188011,3035.361300296259,2113.6,2902.9016928855067,1203.53,3860.63,2657.1000000000004,False
cat69,B,307,4247.703127035831,3302.07,3348.9160051332883,2171.535,5045.145,2873.6100000000006,False
cat70,A,188295,3037.347945404817,2115.5,2904.194043739757,1204.435,3864.04,2659.605,False
cat70,B,23,2953.3439130434786,2351.49,1856.8480518823953,1715.3899999999999,3771.95,2056.56,True
cat71,A,178646,2994.279637663312,2097.025,2811.8644308124176,1195.1,3825.2,2630.1,False
cat71,B,9672,3832.6383519437554,2544.31,4183.9138253814945,1406.93,4636.795,3229.865,False
cat72,A,118322,2527.5614649008635,1816.95,2382.5786371176127,1085.0925,3140.19,2055.0975,False
cat72,B,69996,3899.068955940339,2873.585,3451.448897028183,1538.9250000000002,5151.4825,3612.5575,False
cat73,A,154275,3248.6214265435096,2302.83,3047.320463099848,1289.01,4174.17,2885.16,False
cat73,B,34017,2077.681825557809,1530.89,1850.951268769764,966.0,2515.22,1549.2199999999998,False
cat73,C,26,4914.809615384615,3538.62,5488.630553980824,1974.88,5460.217500000001,3485.3375000000005,True
cat74,A,184731,3028.714006907341,2109.7,2898.3213919506766,1201.11,3850.185,2649.075,False
cat74,B,3561,3470.99298792474,2497.67,3131.1554763884437,1401.86,4436.91,3035.05,False
cat74,C,26,4914.809615384615,3538.62,5488.630553980824,1974.88,5460.217500000001,3485.3375000000005,True
cat75,A,154307,3142.1058881321,2148.91,3059.5271488840076,1211.76,4001.565,2789.8050000000003,False
cat75,B,34010,2561.945274037048,1983.68,1988.0592103769648,1175.565,3344.775,2169.21,False
cat75,C,1,4666.24,4666.24,,4666.24,4666.24,0.0,True
cat76,A,181347,2976.8011205589282,2082.3,2833.1542161061593,1189.545,3786.145,2596.6,False
cat76,B,6183,4864.522917677503,3607.17,4103.86168505383,2050.3900000000003,6405.475,4355.085,False
cat76,C,788,2632.056192893401,1491.565,2990.66657115523,864.21,3071.99,2207.7799999999997,False
cat77,D,187503,3038.90312165672,2118.25,2903.424353594724,1206.12,3866.365,2660.245,False
cat77,C,408,3282.2006862745097,1947.9450000000002,3477.289635870047,1120.28,4075.915,2955.635,False
cat77,B,358,1912.4551117318438,1206.1950000000002,2181.217093622964,705.0975000000001,1936.8325,1231.735,False
cat77,A,49,3226.7236734693874,1945.61,3210.409701975807,1241.91,4209.7,2967.79,True
cat78,B,186526,3026.3615664840286,2111.815,2886.886878517194,1203.63,3849.335,2645.705,False
cat78,A,788,2616.591535532995,1486.8400000000001,2984.145450500592,862.775,3050.6549999999997,2187.8799999999997,False
cat78,C,645,5050.549131782946,3892.64,4356.754434109998,2060.7,6417.56,4356.860000000001,False
cat78,D,359,6046.691977715877,4927.44,4853.0363393691105,2445.165,8139.83,5694.665,False
cat79,B,152929,2469.844946478431,1858.84,2065.1774524631405,1111.28,3151.6,2040.32,False
cat79,D,26657,6311.83205837116,5440.81,4449.475320969276,3322.63,8197.53,4874.900000000001,False
cat79,A,7064,2718.4069691392974,1932.0900000000001,2497.0904095047003,1104.0149999999999,3474.3075,2370.2925,False
cat79,C,1668,4086.9942805755395,3264.555,3992.885665003289,1824.9225,5323.299999999999,3498.3774999999996,False
cat80,D,137505,2200.253190938511,1695.59,1771.8226234068818,1039.86,2782.73,1742.8700000000001,False
cat80,B,46538,5453.62125230994,4568.17,3983.249022094986,2753.145,7063.587500000001,4310.442500000001,False
cat80,C,3492,3890.750094501718,3143.245,3403.39209749918,1884.72,4940.6075,3055.8875,False
cat80,A,783,2621.2236270753515,1489.67,2990.671853484288,862.27,3051.81,2189.54,False
cat81,D,154385,2663.290577258153,1889.23,2499.7667577937495,1107.74,3335.89,2228.1499999999996,False
cat81,B,24132,4816.168605171557,3866.87,3692.160921901809,2241.8,6293.5725,4051.7725,False
cat81,C,9013,4718.471941639854,3565.14,4265.348282242671,1960.81,6178.06,4217.25,False
cat81,A,788,2616.591535532995,1486.8400000000001,2984.145450500592,862.775,3050.6549999999997,2187.8799999999997,False
cat82,B,147536,3150.0479540586703,2204.9799999999996,2970.334427990997,1236.1575,4045.8625,2809.705,False
cat82,A,19322,3163.145966256081,2200.16,3192.998419821464,1214.0425,4073.6175,2859.575,False
cat82,D,18805,1992.5870093060357,1586.18,1502.3387167025662,1011.62,2467.25,1455.63,False
cat82,C,2655,3258.3722297551785,2279.57,3023.948294444438,1346.845,4119.475,2772.63,False
cat83,B,141534,3068.115140037023,2130.13,2944.9401348800816,1213.1325000000002,3897.1575,2684.0249999999996,False
cat83,A,26038,3082.327530148245,2136.02,2980.671749874163,1195.295,3954.1575000000003,2758.8625,False
cat83,D,15788,2665.429006207246,1957.6799999999998,2300.4651586797045,1132.9,3419.425,2286.525,False
cat83,C,4958,3106.7593142396126,2191.675,2961.600116246304,1246.35,3934.0725,2687.7225000000003,False
cat84,C,154939,3075.8894897992113,2142.99,2926.3207043946463,1211.1149999999998,3935.3599999999997,2724.245,False
cat84,A,29450,2759.7057816638367,1931.46,2679.8280900205414,1152.5825,3399.635,2247.0525000000002,False
cat84,D,3498,3490.5101686678104,2497.425,3285.8487157060717,1373.8125,4530.2575,3156.4449999999997,False
cat84,B,431,4470.943828306265,3092.25,4333.541964606069,1762.345,5520.54,3758.1949999999997,False
cat85,B,186005,3016.017262277896,2107.35,2872.1526493866027,1201.56,3836.6,2635.04,False
cat85,C,1011,5762.211414441148,4607.67,4593.879439467786,2516.1800000000003,7539.975,5023.795,False
cat85,A,788,2616.591535532995,1486.8400000000001,2984.145450500592,862.775,3050.6549999999997,2187.8799999999997,False
cat85,D,514,6038.127529182879,4932.485000000001,5059.971272029523,2852.7025,8237.852499999999,5385.15,False
cat86,B,103852,3042.2350894542233,2124.605,2839.2805813138316,1194.6775,3938.7625,2744.085,False
cat86,D,72587,3067.619223827958,2132.39,2932.0781884375924,1231.06,3831.99,2600.93,False
cat86,C,10290,2567.642617103985,1871.0349999999999,2289.985409925731,1112.5874999999999,3219.5325,2106.9449999999997,False
cat86,A,1589,4375.607709251101,2685.52,6536.431237976479,1394.61,5294.46,3899.8500000000004,False
cat87,B,166992,2667.135706381144,1934.57,2429.055726512519,1137.47,3361.5750000000003,2224.1050000000005,False
cat87,D,11719,6134.3427015956995,5270.12,4184.565356469697,3311.06,7877.075,4566.014999999999,False
cat87,C,8819,5969.474561741694,4967.84,4511.36258338349,2935.055,7809.905,4874.85,False
cat87,A,788,2616.591535532995,1486.8400000000001,2984.145450500592,862.775,3050.6549999999997,2187.8799999999997,False
cat88,A,168926,3032.025333341226,2105.615,2912.673830343498,1190.5225,3873.4474999999998,2682.9249999999997,False
cat88,D,19302,3084.6465008807377,2207.1,2829.8524744615443,1330.2350000000001,3784.0699999999997,2453.8349999999996,False
cat88,E,83,2831.3069879518075,2140.93,2394.3699681696066,1319.94,3259.9449999999997,1940.0049999999997,True
cat88,B,7,3228.7985714285714,3383.09,1954.8484298569765,1507.765,4517.63,3009.865,True
cat89,A,183744,2908.94434169279,2073.635,2683.995880056044,1189.54,3734.64,2545.1,False
cat89,B,4312,8213.293627087198,7666.925,5524.8734753016815,4057.1925,11061.5425,7004.349999999999,False
cat89,C,220,7803.455545454545,6860.18,5537.657643584425,3929.42,10459.982499999998,6530.562499999998,False
cat89,D,33,8898.260909090908,7238.85,5910.437105740025,3922.48,13267.05,9344.57,True
cat89,E,5,3244.568,3032.37,618.4196617346507,2888.69,3374.88,486.19000000000005,True
cat89,I,2,9814.04,9814.04,10778.174107185318,6003.38,13624.7,7621.320000000001,True
cat89,G,1,3666.93,3666.93,,3666.93,3666.93,0.0,True
cat89,H,1,18646.37,18646.37,,18646.37,18646.37,0.0,True
cat90,A,177993,2902.2197510576257,2033.38,2780.4020306670627,1173.08,3652.8,2479.7200000000003,False
cat90,B,9515,5302.007737256962,4530.23,3791.1965918486603,2657.935,6908.385,4250.450000000001,False
cat90,C,728,6116.2280494505485,5240.12,4461.620058910451,2932.7374999999997,7928.1775,4995.4400000000005,False
cat90,D,70,6060.263,5637.195,3751.3384515799776,2924.9875,8331.8175,5406.829999999999,True
cat90,E,6,5872.208333333333,5456.67,3691.5777549737,2811.3625,9255.2675,6443.905,True
cat90,F,4,7565.1900000000005,7660.610000000001,3427.661313344712,6252.9325,8972.8675,2719.9350000000004,True
cat90,G,2,9814.04,9814.04,10778.174107185318,6003.38,13624.7,7621.320000000001,True
cat91,A,111028,2968.8541332816944,2049.185,2846.9751167342465,1148.5,3813.62,2665.12,False
cat91,B,42630,3103.5065805770582,2230.91,2937.231440412186,1329.325,3861.2375,2531.9125000000004,False
cat91,G,26734,2655.2352102191967,1891.705,2469.9796893993716,1137.4125000000001,3282.805,2145.3925,False
cat91,C,6400,4864.9663921875,3957.115,3902.6549134280776,2035.5275000000001,6484.445,4448.9175,False
cat91,D,1149,5086.299869451697,3974.15,4171.099826412973,2060.02,6814.89,4754.870000000001,False
cat91,E,254,5537.82,4484.235,4288.328642158632,2249.715,7216.422500000001,4966.7075,False
cat91,F,97,5747.867525773196,5145.5,3815.1369352802594,2195.78,8537.91,6342.129999999999,True
cat91,H,26,4914.809615384615,3538.62,5488.630553980824,1974.88,5460.217500000001,3485.3375000000005,True
cat92,A,124689,3041.3819373802016,2083.84,2933.700037481478,1162.37,3914.38,2752.01,False
cat92,H,62901,3015.1701303635873,2170.7,2826.332887583217,1288.08,3751.76,2463.6800000000003,False
cat92,B,628,4045.4543152866245,2818.83,3671.0288241228327,1553.5375000000001,5569.82,4016.2824999999993,False
cat92,C,62,5761.742903225806,4586.845,5074.299037576726,2087.1549999999997,7887.2725,5800.1175,True
cat92,I,26,4914.809615384615,3538.62,5488.630553980824,1974.88,5460.217500000001,3485.3375000000005,True
cat92,D,11,6784.23090909091,3920.1,6804.9632280291635,2142.04,9784.345,7642.304999999999,True
cat92,F,1,1084.57,1084.57,,1084.57,1084.57,0.0,True
cat93,D,150237,3020.311462888636,2104.92,2870.311589158012,1203.12,3838.98,2635.86,False
cat93,C,35788,3118.6908611825193,2176.275,3042.0297044234585,1214.995,3989.0,2774.005,False
cat93,B,1133,2869.2075022065314,2094.81,2651.1698099534983,1222.69,3581.77,2359.08,False
cat93,E,728,3640.5074725274726,2534.4750000000004,3494.640549517931,1337.19,4656.1275000000005,3318.9375000000005,False
cat93,A,432,1643.553148148148,1221.7849999999999,1554.9958143338,737.1175,2000.0,1262.8825000000002,False
cat94,D,121642,3246.086086960096,2179.835,3183.471660094235,1212.8525,4155.825,2942.9725,False
cat94,B,51710,2609.7320674917814,2011.99,2207.763740985067,1189.4225000000001,3383.1275,2193.705,False
cat94,C,13623,2925.9785429053804,2122.41,2477.6366424297034,1243.275,3790.325,2547.0499999999997,False
cat94,A,738,1717.991734417344,1412.775,1237.437414999513,913.5025,2186.66,1273.1574999999998,False
cat94,F,494,1801.7843319838055,1402.305,1641.9988297794303,885.205,2146.8075,1261.6025,False
cat94,E,91,1256.722087912088,1110.65,609.3271023997911,812.03,1630.355,818.325,True
cat94,G,20,2139.1265,1925.245,1053.8827026525596,1198.64,2998.2325,1799.5925,True
cat95,C,87531,3117.471229050279,2161.46,3032.5172492739794,1240.795,3904.41,2663.615,False
cat95,D,79525,2990.93260949387,2088.13,2765.837957031489,1177.49,3878.89,2701.3999999999996,False
cat95,E,17417,2748.3694126428204,1987.68,2401.768851746999,1159.92,3515.72,2355.7999999999997,False
cat95,A,3736,3530.3094218415417,2235.145,4362.294219592262,1226.1100000000001,4288.385,3062.275,False
cat95,B,109,1820.938623853211,1631.0,1089.6548583700185,937.24,2401.74,1464.4999999999998,True
cat96,E,174360,3029.678285788025,2112.88,2888.0155062261942,1200.3574999999998,3867.685,2667.3275000000003,False
cat96,D,7922,2889.674623832366,2021.83,2788.437297629734,1200.6174999999998,3524.775,2324.1575000000003,False
cat96,B,2957,3768.8838958403785,2591.36,3757.130357629034,1524.09,4513.69,2989.5999999999995,False
cat96,G,2665,3272.903069418386,2111.28,3182.0391846596194,1200.62,4182.05,2981.4300000000003,False
cat96,F,343,2235.9202332361515,1894.6,1437.6785661221638,1210.585,2926.455,1715.87,False
cat96,A,35,1671.250857142857,1276.72,1608.8612673590185,809.71,1538.8249999999998,729.1149999999998,True
cat96,C,24,4320.787499999999,2514.6949999999997,4281.324990521397,1652.7324999999998,5907.2699999999995,4254.537499999999,True
cat96,I,12,3555.0275,2051.485,4261.2373908656355,1324.0675,2786.015,1461.9474999999998,True
cat97,C,78127,3103.712921909199,2129.01,3010.0715334514252,1187.275,3973.54,2786.265,False
cat97,E,47450,2961.1030476290834,2146.7299999999996,2494.983177029879,1208.07,3934.965,2726.8950000000004,False
cat97,A,41970,3012.5308718132,2063.105,3043.909099429562,1223.79,3649.6400000000003,2425.8500000000004,False
cat97,G,16745,3005.2726234696925,2086.69,3159.5380114754694,1213.55,3655.5,2441.95,False
cat97,D,3779,2968.557793066949,2194.13,2504.6033495608085,1203.62,3929.91,2726.29,False
cat97,F,213,4203.008544600939,2569.94,4402.789406779338,1342.66,5498.93,4156.27,False
cat97,B,34,3664.933529411765,3059.125,2337.7681114374523,1965.9524999999999,4859.1525,2893.2000000000003,True
cat98,A,105492,3062.414535035832,2131.565,2934.308146952692,1197.76,3956.5425,2758.7825000000003,False
cat98,D,50557,3062.9720669739104,2097.67,2982.467016310857,1183.84,3855.78,2671.9400000000005,False
cat98,C,21485,3096.0500162904355,2225.47,2829.8037635511387,1342.57,3798.24,2455.67,False
cat98,E,10242,2563.8212624487405,1869.525,2285.066255536002,1111.0,3214.14,2103.14,False
cat98,B,542,2385.891881918819,1836.54,1924.2197198844049,1202.9325,2876.2775,1673.3450000000003,False
cat99,P,79455,2993.899861556856,2089.68,2772.7851646449767,1177.87,3881.535,2703.665,False
